descripcion_limpia,categoria
Entrada concierto,Ocio
Jugo,Alimentacion
Disney+,Ocio
Servicio gas,Servicios
Inscripcion escolar,Educación
Libro de texto,Educación
Autobús,Transporte
Compra comida,Alimentacion
Reparacion casa,Vivienda
dentista,Salud
Viaje en taxi,Transporte
Pastilla,Salud
Comida para llevar restaurante,Alimentacion
Reparacion de plomeria,Vivienda
crema,Ocio
Entrada concierto,Ocio
Nutriólogo,Salud
Recibo gas,Servicios
Tortilleria,Alimentacion
camiseta,Ocio
ropa,Ocio
Renta,Vivienda
Examen laboratorio,Salud
Clases de inglés,Educación
Compra electrodoméstico,Vivienda
Estudios de laboratorio,Salud
Restaurante,Alimentacion
Cablebús,Transporte
Compra alimentos,Alimentacion
Servicios de reparacion hogar,Vivienda
Gas,Servicios
farmacia,Salud
Inscripción escolar,Educación
Colegiatura,Educación
Despensa mensual,Alimentacion
Herramientas hogar,Vivienda
medico,Salud
Servicio gasolinera,Transporte
Plomeria,Vivienda
Camiseta,Ocio
Servicio de agua,Servicios
Decoracion del hogar,Vivienda
Decoracion casa,Vivienda
Servicio streaming,Servicios
medico,Salud
Comida,Alimentacion
Consulta médica,Salud
CFE pago,Servicios
Recarga tarjeta metro,Transporte
gas lp,Servicios
netflix,Ocio
Clases idiomas,Educación
Compra farmacia,Salud
Pago renta,Vivienda
Recibo de servicio,Servicios
Material didáctico,Educación
Telcel,Servicios
Libros escolares,Educación
Pago telefonía,Servicios
Materiales escolares,Educación
Servicio de plomeria,Vivienda
Recibo de agua,Servicios
Tacos,Alimentacion
Farmacia similares,Salud
WALMART,Alimentacion
DIDI,Transporte
Natación,Ocio
Desayuno,Alimentacion
Adornos para casa,Vivienda
farmacia similares,Salud
Artículos para hogar,Vivienda
Mensualidad Netflix,Ocio
Conferencia académica,Educación
Autobús,Transporte
Taxi Didi,Transporte
certificacion,Educación
Clase particular,Educación
Pollo,Alimentacion
Reparación de plomería,Vivienda
Consulta con doctor,Salud
Cartera,Ocio
Abono hipoteca ,Vivienda
Seminario,Educación
Transporte publico,Transporte
Internet hogar,Servicios
Pago Paramount,Ocio
Juego,Ocio
pago cfe,Servicios
Pasaje urbano,Transporte
Pago de hipoteca,Vivienda
Muebles,Vivienda
Decoración casa,Vivienda
Reparacion caldera,Servicios
Universidad,Educación
Mantenimiento casa,Vivienda
Cena en restaurante,Alimentacion
MEDICINA,Salud
Curso en línea,Educación
Curso de idiomas,Educación
Videojuego,Ocio
Articulos para hogar,Vivienda
Electrodomestico,Vivienda
restaurante,Alimentacion
Seminario,Educación
cfe,Servicios
Refrescos,Alimentacion
medico,Salud
Servicio de cable,Servicios
Pastillas,Salud
Libro,Ocio
tren suburbano,Transporte
recarga telcel,Servicios
renta,Vivienda
Material educativo,Educación
Herramientas,Vivienda
Hipoteca,Vivienda
Recibo de luz,Servicios
Mensualidad hipoteca,Vivienda
Tour turístico,Ocio
LIBRO,Ocio
Boleto teatro,Ocio
servicio streaming,Servicios
Reparación casa,Vivienda
Compra de ropa,Ocio
Combustible,Transporte
plomeria,Vivienda
Materiales escolares,Educación
Decoración del hogar,Vivienda
Pintura para interiores,Vivienda
Boleto concierto,Ocio
Mercado,Alimentacion
Decoración casa,Vivienda
Accesorios,Ocio
Senderismo,Ocio
Pago inscripcion,Educación
Mochila,Ocio
Inscripción escuela,Educación
Carnicería,Alimentacion
Servicio telefonico,Servicios
Compra útiles escolares,Educación
Renta,Vivienda
Reparación de plomería,Vivienda
Ropa,Ocio
Superercado,Alimentacion
Servicio limpieza,Servicios
Obra de teatro,Ocio
Útiles escuela,Educación
Curso de internet,Educación
Mantenimiento casa,Vivienda
Despensa Walmart,Alimentacion
Decoración hogar,Vivienda
fruta,Alimentacion
comida,Alimentacion
Cita médica,Salud
Examen certificación,Educación
Análisis Laboratorio,Salud
Pago de universidad,Educación
Pasaje,Transporte
Parque de diversiones,Ocio
Seminario academico,Educación
Gasolina premium,Transporte
Seguro casa,Vivienda
Concierto,Ocio
Farmacia similares,Salud
universidad,Educación
renta,Vivienda
Comida restaurante,Alimentacion
Comida rápida,Alimentacion
comida rapida,Alimentacion
Panaderia,Alimentacion
Reparación de plomería,Vivienda
UBER,Transporte
Pago de servicio,Servicios
Cita médica,Salud
Urgencias medicas,Salud
Paseo turístico,Ocio
Comida en restaurante,Alimentacion
Fotografía,Ocio
Abarrotes tienda,Alimentacion
FERRETERIA,Vivienda
stream,Ocio
Pago de renta,Vivienda
Recibo de luz,Servicios
Desayuno,Alimentacion
Compra videojuego,Ocio
Despensa quincenal,Alimentacion
Mensualidad escolar,Educación
Pan,Alimentacion
Pan dulce,Alimentacion
UNIVERSIDAD,Educación
Fibra óptica,Servicios
Panadería,Alimentacion
Clases particulares,Educación
DOCTOR,Salud
senderismo,Ocio
Entrada museo,Ocio
Viaje Didi,Transporte
panaderia,Alimentacion
Peaje,Transporte
Servicio gasolinera,Transporte
Farmacia similares,Salud
pago cfe,Servicios
Telefonía móvil,Servicios
Antibiótico,Salud
Pago internet,Servicios
Servicio gasolinera,Transporte
Receta médica,Salud
Libro,Ocio
Pago de escuela,Educación
Carga gasolina,Transporte
Latte,Alimentacion
LABORATORIO,Salud
comida rapida,Alimentacion
Paramount,Ocio
escuela,Educación
Compra útiles escolares,Educación
Festival,Ocio
Yogur,Alimentacion
Servicio mantenimiento,Servicios
RENTA,Vivienda
Rappi comida,Alimentacion
Visita turistica,Ocio
Médico,Salud
Aretes,Ocio
Pago Telcel,Servicios
Libro de texto,Educación
Reparación tubería,Vivienda
Gym,Servicios
Compra de ropa,Ocio
Inscripcion escolar,Educación
Pasaje tren,Transporte
Cablebus,Transporte
Cursos,Educación
Yogur,Alimentacion
Senderismo,Ocio
laboratorio medico,Salud
Congreso academico,Educación
Cómic,Ocio
Pan,Alimentacion
dentista,Salud
Productos limpieza,Vivienda
Pintura interiores,Vivienda
laboratorio,Salud
Spa,Ocio
Servicio telefonico,Servicios
Compra pintura,Vivienda
Tienda de abarrotes,Alimentacion
Consulta dental,Salud
Entrada museo,Ocio
Crema facial,Ocio
Streaming,Servicios
Cafeteria local,Alimentacion
gas,Servicios
Compra ferreteria,Vivienda
Inscripcion escolar,Educación
laboratorio medico,Salud
Recarga de gas,Servicios
Gas Natural,Servicios
Abarrotes,Alimentacion
Antibiótico,Salud
Hospitalización,Salud
comida,Alimentacion
Consulta dental,Salud
pantalon,Ocio
CAMISETA,Ocio
medico,Salud
Conferencia academica,Educación
Psicólogo,Salud
Tanque gasolina,Transporte
Mantenimiento departamento,Vivienda
fruta,Alimentacion
Pago SACMEX,Servicios
pastillas,Salud
Boleto autobus,Transporte
Examen laboratorio,Salud
Compra ferreteria,Vivienda
CURSO,Educación
Crédito hipotecario,Vivienda
Boleto concierto,Ocio
Uber eats,Alimentacion
Productos de cuidado personal,Ocio
Certificación,Educación
Cablebús,Transporte
LABORATORIO,Salud
Mantenimiento edificio,Vivienda
Servicio internet,Servicios
Panaderia,Alimentacion
Tutor,Educación
Café espresso,Alimentacion
pantalon,Ocio
Peaje,Transporte
Reparacion caldera,Servicios
Antibiótico,Salud
Seminario,Educación
Electrodoméstico,Vivienda
PREMIUM,Transporte
Paramount+,Ocio
Suscripcion Netflix,Ocio
Autobus,Transporte
Mantenimiento del edificio,Vivienda
Servicio de limpieza,Servicios
Dentista,Salud
Cita doctor,Salud
Entrada cine,Ocio
Cafeteria local,Alimentacion
DIDI,Transporte
muebles,Vivienda
Set de ducha,Ocio
playera,Ocio
Internet,Servicios
Odontologo,Salud
Entrada cine,Ocio
Suscripción Paramount,Ocio
Clases de idiomas,Educación
Material de estudio,Educación
Alimentos,Alimentacion
Crema,Ocio
Transporte urbano,Transporte
Pago colegiatura,Educación
Comision Federal de Electricidad,Servicios
Consulta especialista,Salud
Factura de agua,Servicios
Pintura para interiores,Vivienda
Ropa,Ocio
Mantenimiento edificio,Vivienda
Tanque gasolina,Transporte
verdura,Alimentacion
Credito hipotecario,Vivienda
Carnicería,Alimentacion
Pan,Alimentacion
Te y galletas,Alimentacion
Compra muebles,Vivienda
Electrodoméstico,Vivienda
Gasolina magna,Transporte
Alquiler vivienda,Vivienda
Pintura,Vivienda
Suscripción Disney,Ocio
Clases de idiomas,Educación
Boliche,Ocio
laboratorio,Salud
Boleto teatro,Ocio
Pintura casa,Vivienda
Suscripcion Paramount,Ocio
spa,Ocio
Material didáctico,Educación
Paramount+,Ocio
Boleto de autobus,Transporte
Recibo de luz,Servicios
Recarga Metro,Transporte
Comida para llevar,Alimentacion
Certificación profesional,Educación
Odontologo,Salud
Productos para hogar,Vivienda
Artículos de limpieza,Vivienda
Vitamina,Salud
Panadería,Alimentacion
Examen médico,Salud
Material educativo,Educación
Compra de comida,Alimentacion
Servicio caldera,Servicios
Farmacia similares,Salud
Mensualidad hipoteca,Vivienda
panaderia,Alimentacion
curso,Educación
Lentes para sol,Ocio
Uber,Transporte
Electricidad,Servicios
Material didactico,Educación
Pago servicio,Servicios
RESTAURANTE,Alimentacion
Examen médico,Salud
Pantalón,Ocio
Uber,Transporte
Tarjeta Metro,Transporte
Cafeteria,Alimentacion
Uber,Transporte
Servicio telefonico,Servicios
Joyería,Ocio
HIPOTECA,Vivienda
Carnicería,Alimentacion
Transporte urbano,Transporte
Visita turística,Ocio
Juego,Ocio
restaurante,Alimentacion
Servicio de plomería,Vivienda
Ferretería,Vivienda
Ferretería,Vivienda
Materiales escolares,Educación
Pintura hogar,Vivienda
Taxi de Sitio,Transporte
Concierto,Ocio
gasolina,Transporte
Paramount Plus,Ocio
supermercadoDESPENSA,Alimentacion
Tarjeta Metro,Transporte
Lacteos,Alimentacion
Transporte por aplicación,Transporte
Carga gas LP,Servicios
Utensilios de cocina,Vivienda
Pago de renta,Vivienda
Comida rápida,Alimentacion
Fragancia,Ocio
Materiales escolares,Educación
Agua embotellada,Alimentacion
Servicio internet,Servicios
Entrada concierto,Ocio
Recibo servicio,Servicios
Telefonia celular,Servicios
electricidad,Servicios
Taxi Didi,Transporte
Taller idiomas,Educación
Credito hipotecario,Vivienda
Antibiotico,Salud
Vitamina,Salud
Pago credito hipotecario,Vivienda
uber,Transporte
Servicio spa,Ocio
Pasaje,Transporte
Cablebus,Transporte
Laboratorio,Salud
Verduras,Alimentacion
Inscripcion universidad,Educación
Material escolar,Educación
Reparación de plomería,Vivienda
Diplomado,Educación
Boliche,Ocio
curso,Educación
Lentes,Ocio
Reparacion casa,Vivienda
Reparacion hogar,Vivienda
Seminario academico,Educación
Cena,Alimentacion
Medicina,Salud
Mensualidad escuela,Educación
didi,Transporte
Servicio Uber,Transporte
Clases de matemáticas,Educación
Pintura para casa,Vivienda
Recarga Telcel,Servicios
Mercado,Alimentacion
Compra de despensa,Alimentacion
taxi sitio,Transporte
renta,Vivienda
PEMEX,Transporte
ferreteria,Vivienda
cfe,Servicios
taxi,Transporte
Compra en farmacia,Salud
Uber viaje,Transporte
MEDICO,Salud
Compra de alimentos,Alimentacion
Servicio médico,Salud
Videojuegos,Ocio
Clases de matematicas,Educación
Pago servicio,Servicios
Farmacia Similares,Salud
Consulta medica,Salud
Supermercado,Alimentacion
gas natural,Servicios
Festival,Ocio
Servicio Uber,Transporte
Utiles escolares,Educación
Servicio streaming,Servicios
Bolsa,Ocio
Gas LP,Servicios
Disney Plus,Ocio
Mantenimiento hogar,Vivienda
Medicamento farmacia,Salud
Despensa,Alimentacion
Estudios de laboratorio,Salud
cafe,Alimentacion
Examen laboratorio,Salud
Matcha latte,Alimentacion
CFE,Servicios
LABORATORIO,Salud
Clases de inglés,Educación
Compra pintura,Vivienda
Reparacion casa,Vivienda
laboratorio,Salud
Examen certificación,Educación
Accesorios,Ocio
UBER,Transporte
Pan,Alimentacion
Pintura,Vivienda
Recarga Telcel,Servicios
Suscripción de streaming,Servicios
Pago servicio,Servicios
Electrodomestico,Vivienda
Didi,Transporte
Urgencias médicas,Salud
sacmex,Servicios
Análisis de laboratorio,Salud
Televisión por cable,Servicios
Análisis de laboratorio,Salud
Disney plus,Ocio
Analisis de laboratorio,Salud
Libro escolar,Educación
Consulta con doctor,Salud
UBER,Transporte
Cuota autopista,Transporte
Cablebus CDMX,Transporte
RECIBO CFE,Servicios
Viaje en taxi,Transporte
Autopista,Transporte
Transporte público,Transporte
gas natural,Servicios
Clases privadas,Educación
Clases particulares,Educación
Certificación,Educación
Clases privadas,Educación
Antibiótico,Salud
Panaderia,Alimentacion
Uber viaje,Transporte
Ropa,Ocio
cine,Ocio
Receta médica,Salud
Concierto,Ocio
Mantenimiento casa,Vivienda
Laboratorio médico,Salud
Certificacion profesional,Educación
Estudio médico,Salud
renta,Vivienda
recibo CFE,Servicios
Cablebús,Transporte
Suscripción de streaming,Servicios
curso,Educación
Masaje,Ocio
Herramientas,Vivienda
TIANGUIS,Alimentacion
Pago cable,Servicios
Verduras,Alimentacion
Inscripcion escolar,Educación
Entrada concierto,Ocio
Boleto parque,Ocio
Compra útiles escolares,Educación
GYM,Servicios
Festival musica,Ocio
MAGNA,Transporte
Pago agua,Servicios
Clases idiomas,Educación
Compra combustible,Transporte
Frances,Educación
uber,Transporte
Pago agua,Servicios
Estudios de laboratorio,Salud
recibo de luz,Servicios
plomeria,Vivienda
Electricidad,Servicios
Taxi sitio,Transporte
Pago CFE,Servicios
Transporte urbano,Transporte
Cartera,Ocio
Inscripción escolar,Educación
Tortilleria,Alimentacion
Pastilla,Salud
Recibo gas,Servicios
Pago de luz,Servicios
Diplomado profesional,Educación
Análisis Laboratorio,Salud
Mercado,Alimentacion
Nutriólogo,Salud
electricidad,Servicios
Examen de laboratorio,Salud
pintura,Vivienda
walmart,Alimentacion
Pago seguro vivienda,Vivienda
Televisión por cable,Servicios
renta,Vivienda
Abono Hipoteca,Vivienda
Decoracion hogar,Vivienda
Servicio de cable,Servicios
Curso de internet,Educación
Inscripción curso,Educación
Utensilios cocina,Vivienda
Reparación casa,Vivienda
Gasolina Premium,Transporte
Cena,Alimentacion
Consulta doctor,Salud
didi,Transporte
Cafeteria,Alimentacion
Gasolina Premium,Transporte
Compra en supermercado,Alimentacion
Pago mensualidad escolar,Educación
Decoración hogar,Vivienda
Compra supermercado,Alimentacion
Taxi de sitio,Transporte
Curso ingles,Educación
Renta mensual,Vivienda
Lentes para sol,Ocio
Dentista,Salud
Análisis de laboratorio,Salud
Suscripción Netflix,Ocio
Credito hipotecario,Vivienda
Compra electrodomestico,Vivienda
Mantenimiento hogar,Vivienda
Nutriólogo,Salud
Servicio telefónico,Servicios
Pintura,Vivienda
Servicio limpieza,Servicios
Pemex,Transporte
Boleto de autobus,Transporte
Recibo servicio,Servicios
Desayuno,Alimentacion
Karaoke,Ocio
Pago renta,Vivienda
gimnasio,Servicios
Boleto de autobús,Transporte
Tacos restaurante,Alimentacion
Curso inglés,Educación
RECIBO CFE,Servicios
cablebus,Transporte
Útiles escolares,Educación
Servicio médico,Salud
Reparacion caldera,Servicios
Pantalon,Ocio
Jeans,Ocio
Gym,Servicios
Estacionamiento vehículo,Transporte
farmacia similares,Salud
despensa,Alimentacion
Pasaje autobus,Transporte
Electrodomesticos,Vivienda
Baile,Ocio
Servicio limpieza,Servicios
Decoracion casa,Vivienda
Abono Hipoteca,Vivienda
Servicio streaming,Servicios
Compra medicamentos,Salud
Cine,Ocio
Pintura casa,Vivienda
Certificación profesional,Educación
Hospitalización,Salud
Pago de luz,Servicios
Pintura casa,Vivienda
transporte publico,Transporte
Electrodomésticos,Vivienda
gimnasio,Servicios
Huevos,Alimentacion
Pago de servicio,Servicios
Bolsa,Ocio
Renta,Vivienda
Mensualidad escolar,Educación
Colegiatura,Educación
surf,Ocio
Consulta medica,Salud
Pasaje urbano,Transporte
autobus,Transporte
Inscripcion universidad,Educación
Pastillas,Salud
Combustible,Transporte
Accesorios,Ocio
Alquiler vivienda,Vivienda
Seguro de gastos médicos,Salud
Tren suburbano,Transporte
Paseo turistico,Ocio
Superercado,Alimentacion
Recarga tarjeta transporte,Transporte
Combustible,Transporte
Taxi Didi,Transporte
Joyería,Ocio
Clases idiomas,Educación
Estudio médico,Salud
Carne,Alimentacion
Análisis de laboratorio,Salud
Comida en restaurante,Alimentacion
Superercado,Alimentacion
Metro,Transporte
taxi sitio,Transporte
Antibiótico,Salud
Taller de idiomas,Educación
Tutorias,Educación
Tianguis,Alimentacion
Restaurante,Alimentacion
HIPOTECA,Vivienda
Hospitalización,Salud
Pasaje autobus,Transporte
Factura de agua,Servicios
Nutriologo,Salud
Despensa Walmart,Alimentacion
Seguro de vivienda,Vivienda
TIANGUIS,Alimentacion
Decoración hogar,Vivienda
Clases idiomas,Educación
Conferencia academica,Educación
Cafetería,Alimentacion
Recibo de gas,Servicios
Mensualidad universidad,Educación
Consulta medica,Salud
Pago de colegiatura,Educación
Compra libro escolar,Educación
Servicio de limpieza,Servicios
Compra combustible,Transporte
Recibo CFE,Servicios
universidad,Educación
WALMART,Alimentacion
Carga de gasolina,Transporte
Recibo CFE,Servicios
Gym,Servicios
Transporte publico,Transporte
Pago telefonia,Servicios
Urgencias médicas,Salud
Gym,Servicios
Compra comida,Alimentacion
HIPOTECA,Vivienda
Recibo de gas,Servicios
metro,Transporte
Compra libro escolar,Educación
Clases de matemáticas,Educación
Hospital,Salud
GYM,Servicios
Mensualidad universidad,Educación
Clases idiomas,Educación
Odontólogo,Salud
despensa,Alimentacion
patinaje,Ocio
Compra farmacia,Salud
Limpieza casa,Servicios
Boleto evento,Ocio
Libros escolares,Educación
electricidad,Servicios
Entrada evento,Ocio
Mantenimiento hogar,Vivienda
cafe,Alimentacion
transporte publico,Transporte
Farmacia similares,Salud
Mensualidad renta,Vivienda
Paseo turistico,Ocio
Cafetería local,Alimentacion
Gas,Servicios
Seminario academico,Educación
Pan dulce,Alimentacion
Camion,Transporte
Gas natural,Servicios
Taxi Didi,Transporte
Electrodomésticos,Vivienda
Inscripción curso,Educación
pastillas,Salud
Combustible,Transporte
Pago de colegiatura,Educación
Taxi Didi,Transporte
Almuerzo,Alimentacion
Videojuegos,Ocio
Frutas y verduras,Alimentacion
Consulta medica,Salud
curso,Educación
Hospitalización,Salud
Recibo de luz,Servicios
Reparación de plomería,Vivienda
Servicio medico,Salud
Pago electricidad,Servicios
Carga gasolina,Transporte
Medicina,Salud
Urgencias médicas,Salud
Medicamento farmacia,Salud
Caseta,Transporte
Crema,Ocio
Curso de internet,Educación
Compra ferreteria,Vivienda
Estacionamiento,Transporte
Paseo turístico,Ocio
Pescado,Alimentacion
Compra medicamento,Salud
Pago de servicio,Servicios
Senderismo,Ocio
combustible,Transporte
Recarga Metro,Transporte
Mensualidad escolar,Educación
Taxi de Sitio,Transporte
Metró,Transporte
Carga de gasolina,Transporte
Compra utiles escolares,Educación
Cablebús,Transporte
Obra de teatro,Ocio
Limpieza casa,Servicios
Inscripcion universidad,Educación
Camión,Transporte
Parque diversiones,Ocio
Credito hipotecario,Vivienda
camiseta,Ocio
Viaje Uber,Transporte
MEDICO,Salud
